"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"가온마을1006동앞녹지(해들뜰근린)",무인대여소,,세종특별자치시 다정동 363-38,36.490872,127.252430,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"다정동해들뜰근린(가온1004옆)",무인대여소,,세종특별자치시 다정동 363-337,36.492861,127.252106,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"달님뜰근린공원(가온1215옆)",무인대여소,,세종특별자치시 다정동 363-153,36.4933669219,127.2521641628,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을8단지앞상가(페스티발2)",무인대여소,,세종특별자치시 다정동 7-4,36.4944415382,127.248600446,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"다정동모닝시티녹지",무인대여소,,세종특별자치시 나성동 734,36.491253,127.255910,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을807동앞녹지(달님뜰근린공원)",무인대여소,,세종특별자치시 다정동 13,36.4956303988,127.2517017732,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을312동앞녹지",무인대여소,,세종특별자치시 다정동 308-5,36.499051,127.240739,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을314동앞녹지",무인대여소,,세종특별자치시 종촌동 710,36.499395,127.243434,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을315동앞녹지(너비뜰근린공원)",무인대여소,,세종특별자치시 다정동 273-4,36.499254,127.244546,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을607동앞녹지",무인대여소,,세종특별자치시 다정동 1-1,36.498814,127.245067,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을603동앞녹지(오래뜰근린공원)",무인대여소,,세종특별자치시 다정동 85-1,36.498982,127.248717,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을603동앞녹지",무인대여소,,세종특별자치시 다정동 85-2,36.498653,127.248864,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을906동앞녹지",무인대여소,,세종특별자치시 다정동 93,36.498909,127.249656,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가온마을904동앞녹지",무인대여소,,세종특별자치시 다정동 95,36.498332,127.251723,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(만남로)",무인대여소,,세종특별자치시 고운동 1816,36.501136,127.236016,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을602동앞",무인대여소,,세종특별자치시 고운동 2057,36.502350,127.239876,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을612동건너편",무인대여소,,세종특별자치시 고운동 1740,36.502561,127.238061,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을704동앞",무인대여소,,세종특별자치시 고운동 1724,36.5051585525,127.2395618,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동그랜드프라자앞",무인대여소,,세종특별자치시 고운동 2057,36.505251,127.233817,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을303동앞",무인대여소,,세종특별자치시 고운동 1708,36.5062539795,127.2358964809,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운중학교",무인대여소,,세종특별자치시 고운동 1709,36.506298,127.237259,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운중학교버스정류장",무인대여소,,세종특별자치시 고운동 1709,36.506158,127.237513,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을801동앞",무인대여소,,세종특별자치시 고운동 1706,36.5070558198,127.2402789153,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
